movie_id	title	is_adult	release_year	duration	genres	avg_rating	votes	directors	writers	actors
tt3603524	Mille chemins du temps	false	2014	70	Documentary	0.0	0	Philippe Vandendriessche		Willy Perelsztejn|Manu Bonmariage|Geoffroy Cernaix|Jean-Pierre Beauviala|Thierry Michel|Claudio Pazienza|Philippe Vandendriessche
tt4948154	Knocking on Heaven's Door	false	2014	0	Musical	5.5	22	Desmond Elliot		Supersoniq Amanyi|Leelee Byoma|Oz Ejike Agu|Majid Michel|Adesua Etomi|Emem Isong|Ini Edo|Desmond Elliot|Robert Peters|Blossom Chukwujekwu
tt3550814	Sick World	false	2014	63	Documentary,Family,News	0.0	0	Hyun-Mi Park	Hyun-Mi Park	Hyun-Mi Park|Jean Kim|Jung-Hoon Shin
tt5047340	Sister Morphine	false	2014	0	Documentary	0.0	0	Brad Gover	Mark Hoffe	Brad Gover|Mark Hoffe|Phil Goodland|Scott McClellan
tt5060306	Garbhasreeman	false	2014	0	Drama	4.5	11	Anil Gopinath	Suvachan	Ouseppachan|Kalabhavan Shajohn|K.P. Nambyathiri|Anil Gopinath|Suraaj Venjarammoodu|T.S. Jayakumar|Siddique|Suvachan|K.J. Rajendran|Gouri Krishna
tt5133692	Kaksparsh	false	2014	130	Drama,Family,History	7.5	56	Mahesh Manjrekar		Mahesh Manjrekar
tt4077382	Ibong Adarna: The Pinoy Adventure	false	2014	90	Adventure,Drama,Family	8.3	7	Jun Urbano	Angelo Hernandez|Jun Urbano	Benjie Paras|Joel Torre|Leo Martinez|Angelo Hernandez|Denise Santos|Ronnie Lazaro|Jun Urbano|Patricia Fernandez|Rocco Nacino|Angel Aquino
tt4071606	Madame Presidenta: Why Not U.S.?	false	2014	51	Documentary,History,News	0.0	0	Heather Arnet	Heather Arnet	Heather Arnet|Nathan Wadding|Nathan Golon|Jamie Holleran
tt4064558	Un Noel au Pakistan	false	2014	52	Documentary	0.0	0	Narinderpal Singh Chandok	Narinderpal Singh Chandok	Antoine Rossi|Narinderpal Singh Chandok|Lionel Rigal
tt4014472	Tarkata	false	2014	150	Crime,Drama	6.5	178	Muhammad Mostafa Kamal Raz	Muhammad Mostafa Kamal Raz	Mousumi|Khayer Khondokar|Ejazul Islam|Bidya Sinha Saha|Arifin Shuvo|Ahmed Sharif|Forhad Ahammed|Faruk Ahmed|Muhammad Mostafa Kamal Raz|Arifin Rumi
tt3985166	Under Gottsunda	false	2014	73	Drama	6.8	16	Viktor Johansson	Viktor Johansson	Ibrahim Farran|Viktor Johansson|Sergej Brändén|Parvaneh Ghavanini|Andean Runner|Kerim Ashkar|Victoria Eriksson|Ali Almaseri|Flexx|Mohammed Essa
tt3391042	ASA: Film Matters	false	2014	0	Music	0.0	0	Mathieu Vié		Karine Lima|Walperion Music|Stool Mayer|Morgan Prêleur|Mathieu Vié
tt5586132	Jimmy Was a Carpenter	false	2014	0	Thriller	0.0	0	Taylor Toole	Taylor Toole	Jess Phaneuf|Taylor Toole|Rob Myers|Jennifer Toole
tt3915054	Gekijouban Yuuto kun ga iku	false	2014	0	Animation	0.0	0
tt5618362	Living Los Sures	false	2014	0	Documentary	0.0	0	Christopher Allen		Lucila Moctezuma|Warner Boutin|Outlier|Christopher Allen|Sarah Lerner|Alison S.M. Kobayashi|Steve Holmgren|Laura Heberton
tt3378436	Selling the Skin	false	2014	0	Documentary	0.0	0	Ken Kushner	Ken Kushner	Ken Kushner|George Isaacs|Reid Carpenter|Richie Scarface
tt3892654	Jakten på Berlusconi	false	2014	82	Comedy	4.8	191	Ole Endresen	Ole Endresen	Håkon Øverås|Jon Øigarden|Henriette Steenstrup|Morten Ramm|Ole Endresen|Edward Schultheiss|Thomas G. Trælnes|Pål Jackman|Gaute Gunnari
tt3352770	Ernesto Pinto-Bazurco: A Peruvian in the Third Reich	false	2014	0	Documentary	0.0	0	Luis Enrique Cam	Luis Enrique Cam	Luis Enrique Cam|Enrique Seminario
tt4399828	Discovering Masterpieces of Classical Music: Wolfgang Amadeus Mozart	false	2014	61		0.0	0
tt3171886	Hartenstraat	false	2014	90	Romance	6.3	1666	Sanne Vogel	Judith Goudsmit	Sanne Vogel|Edvard van 't Wout|Bracha van Doesburgh|Judith Goudsmit|Georgina Verbaan|Jan Kooijman|Marwan Kenzari|Robin de Levita|Kees Abrahams|Perquisite
tt5284196	Pretty Village	false	2014	0		0.0	0
tt5280098	In the Camp	false	2014	0	Comedy	0.0	0	Ashot Hakobyan	Karl Abrahamyan	Arthur Hakobyan|Leva Davtyan|Vahe Terteryan|Rustam Badalyan|Karl Abrahamyan|Ashot Hakobyan|Vahe Epremyan|Hayk Avagyan|Sofi Devoyan|Dalita Avanesian
tt2517658	The Canal	false	2014	92	Horror,Mystery,Thriller	5.9	10990	Ivan Kavanagh	Ivan Kavanagh	Rupert Evans|Ivan Kavanagh|Kelly Byrne|Robin Hill|Antonia Campbell-Hughes|Hannah Hoekstra|Albi Sheridan|Ceiri Torjussen|Piers McGrail|AnneMarie Naughton
tt3831548	The Path of Peace: The Renaissance of Nazareth	false	2014	61	Documentary,Family,History	0.0	0	Cameron Yorke	Cameron Yorke	Stuart Dunlop|Joel Ryder|Cameron Yorke|Louis Blair|David N. O'Sullivan|James Lyndon|Alexandra Legouix
tt3132922	In God We Trust	false	2014	105	Documentary,Drama,Family	0.0	0	Jennifer Dawn|Paul Bounds|Paige McCauley	Paul Bounds	Frank Foster|Curtis Hegwood|Pascha Hanner|Harvey Johnson|Jennifer Dawn|Scott Bates|Paige McCauley|Chris Blackburn|Paul Bounds|Wanda Johnson
tt5128960	Shadow	false	2014	33	Documentary	0.0	0	Raha Razavi	Raha Razavi	Amir Ghashghaei|Raha Razavi
tt3119360	Itsi Bitsi	false	2014	109	Drama	6.7	748	Ole Christian Madsen	Bo Hr. Hansen|Ole Christian Madsen	Ole Christian Madsen|Julia Ragnarsson|Caspar Phillipson|Jørgen Johansson|Bo Hr. Hansen|Henrik Lindstrand|Søren B. Ebbe|Ola Rapace|Thure Lindhardt|Lars Bredo Rahbek
tt3830032	Call Me Bad Girl	false	2014	0	Romance	5.2	28	Ong-art Cheamcharoenporn		Teeradetch Metawarayut|Pechaya Wattanamontri|Zuvapit Traipornworakit|Ong-art Cheamcharoenporn
tt5152460	Find Me	false	2014	77	Documentary	7.6	7	David Peters		David Peters
